Source,Target,Type,Weight
48194,291095,Undirected,2
101358,324448,Undirected,2
101358,337916,Undirected,2
117609,291095,Undirected,2
32827,40742,Undirected,2
32827,79755,Undirected,2
32827,369942,Undirected,2
40742,79755,Undirected,4
40742,337345,Undirected,2
40742,369942,Undirected,3
79755,337345,Undirected,2
79755,369942,Undirected,3
337345,369942,Undirected,2
7152,86922,Undirected,8
7152,116877,Undirected,8
7152,314179,Undirected,2
7152,317710,Undirected,5
7152,326372,Undirected,8
7152,371074,Undirected,4
86922,116877,Undirected,11
86922,150665,Undirected,2
86922,314179,Undirected,2
86922,317710,Undirected,6
86922,326372,Undirected,12
86922,371074,Undirected,6
116877,314179,Undirected,2
116877,317710,Undirected,7
116877,326372,Undirected,12
116877,371074,Undirected,5
314179,317710,Undirected,2
314179,326372,Undirected,2
314179,371074,Undirected,2
317710,326372,Undirected,6
317710,371074,Undirected,3
326372,371074,Undirected,6
7152,370024,Undirected,2
86922,166573,Undirected,2
86922,370024,Undirected,2
116877,166573,Undirected,2
116877,370024,Undirected,2
166573,317710,Undirected,2
166573,326372,Undirected,2
326372,370024,Undirected,2
7152,131420,Undirected,2
7152,264908,Undirected,5
7152,369298,Undirected,3
86922,131420,Undirected,3
86922,264908,Undirected,5
95047,116877,Undirected,2
95047,264908,Undirected,5
116877,131420,Undirected,3
116877,264908,Undirected,5
131420,264908,Undirected,3
131420,317710,Undirected,2
131420,326372,Undirected,3
131420,371074,Undirected,2
264908,317710,Undirected,3
264908,326372,Undirected,5
264908,369298,Undirected,2
264908,371074,Undirected,2
7152,307474,Undirected,4
48194,95035,Undirected,2
48194,307474,Undirected,2
86922,307474,Undirected,4
95035,264908,Undirected,3
95035,326372,Undirected,2
116877,307474,Undirected,4
264908,307474,Undirected,5
307474,317710,Undirected,3
307474,326372,Undirected,4
7152,146643,Undirected,5
86922,146643,Undirected,3
116877,146643,Undirected,3
146643,264908,Undirected,2
146643,317710,Undirected,4
146643,326372,Undirected,3
151885,264908,Undirected,2
36038,38736,Undirected,2
36038,43745,Undirected,2
36038,107421,Undirected,2
36038,291819,Undirected,2
36038,318399,Undirected,2
36038,364088,Undirected,2
38736,43745,Undirected,3
38736,107421,Undirected,2
38736,291819,Undirected,7
38736,318399,Undirected,3
38736,364088,Undirected,3
43745,107421,Undirected,2
43745,291819,Undirected,3
43745,318399,Undirected,3
43745,364088,Undirected,3
107421,291819,Undirected,2
107421,318399,Undirected,2
107421,364088,Undirected,2
291819,318399,Undirected,3
291819,364088,Undirected,3
318399,364088,Undirected,3
25238,137190,Undirected,2
266705,317032,Undirected,2
197849,197854,Undirected,2
197849,252152,Undirected,2
197849,255752,Undirected,2
197849,310973,Undirected,3
197854,310973,Undirected,3
204864,252152,Undirected,2
204864,296602,Undirected,2
252152,255752,Undirected,2
252152,310973,Undirected,2
255752,296602,Undirected,2
296602,310973,Undirected,2
298826,306952,Undirected,2
38454,326370,Undirected,2
38454,368564,Undirected,2
186078,279309,Undirected,2
186078,326370,Undirected,2
178511,326372,Undirected,2
150852,180818,Undirected,2
307502,317710,Undirected,2
307502,363769,Undirected,2
307502,382489,Undirected,2
326376,348828,Undirected,2
6649,53358,Undirected,2
6649,139475,Undirected,2
139475,260956,Undirected,2
296038,384332,Undirected,2
25238,125988,Undirected,2
64664,393938,Undirected,2
205119,393938,Undirected,2
220308,392560,Undirected,2
2417,172966,Undirected,2
23547,46169,Undirected,4
299114,351850,Undirected,2
117697,253177,Undirected,2
185210,253177,Undirected,2
185210,348405,Undirected,2
253177,348405,Undirected,2
198202,230551,Undirected,2
56225,69273,Undirected,3
56225,72747,Undirected,7
56225,76672,Undirected,10
56225,78545,Undirected,8
56225,109373,Undirected,12
56225,186521,Undirected,3
56225,271223,Undirected,13
69273,72747,Undirected,7
69273,76672,Undirected,3
69273,78545,Undirected,8
69273,109373,Undirected,3
69273,178615,Undirected,2
69273,186521,Undirected,2
69273,271223,Undirected,3
72747,76672,Undirected,7
72747,78545,Undirected,9
72747,109373,Undirected,6
72747,186521,Undirected,3
72747,271223,Undirected,7
76672,78545,Undirected,9
76672,109373,Undirected,9
76672,186521,Undirected,3
76672,271223,Undirected,10
78545,109373,Undirected,7
78545,178615,Undirected,3
78545,186521,Undirected,3
78545,271223,Undirected,8
109373,186521,Undirected,3
109373,271223,Undirected,12
186521,271223,Undirected,3
28287,30474,Undirected,4
28287,56225,Undirected,9
28287,76672,Undirected,6
28287,109373,Undirected,8
28287,184913,Undirected,3
28287,198779,Undirected,3
28287,271223,Undirected,10
28287,326365,Undirected,4
30474,56225,Undirected,4
30474,76672,Undirected,5
30474,109373,Undirected,3
30474,271223,Undirected,4
56225,184913,Undirected,4
56225,198779,Undirected,3
56225,326365,Undirected,2
109373,184913,Undirected,3
109373,198779,Undirected,3
109373,326365,Undirected,2
184913,198779,Undirected,3
184913,271223,Undirected,5
184913,326365,Undirected,2
198779,271223,Undirected,3
198779,326365,Undirected,2
271223,326365,Undirected,2
118086,184913,Undirected,16
118086,271223,Undirected,3
184913,357894,Undirected,2
46011,214270,Undirected,2
267806,317326,Undirected,2
95276,285266,Undirected,3
95276,314858,Undirected,2
122772,178511,Undirected,3
178511,220822,Undirected,2
42117,50677,Undirected,2
42117,99442,Undirected,2
42117,355315,Undirected,2
50677,204884,Undirected,2
50677,267148,Undirected,2
50677,340985,Undirected,2
50677,355315,Undirected,2
99442,267148,Undirected,2
204884,355315,Undirected,2
267148,355315,Undirected,2
340985,355315,Undirected,2
28977,276874,Undirected,2
197163,306509,Undirected,2
122772,122790,Undirected,4
122772,371228,Undirected,2
166573,387447,Undirected,3
150665,210211,Undirected,2
153045,196643,Undirected,23
196643,368625,Undirected,2
196643,370151,Undirected,2
153212,353500,Undirected,2
156890,353500,Undirected,2
196643,382894,Undirected,2
353500,372049,Undirected,2
45394,66178,Undirected,3
45394,171704,Undirected,2
45394,205851,Undirected,2
45394,223163,Undirected,5
45394,291819,Undirected,4
45394,296115,Undirected,2
45394,297010,Undirected,2
45394,373881,Undirected,3
66178,171704,Undirected,2
66178,205851,Undirected,2
66178,223163,Undirected,3
66178,291819,Undirected,2
66178,296115,Undirected,2
66178,297010,Undirected,2
66178,373881,Undirected,3
133275,223163,Undirected,2
171704,223163,Undirected,2
171704,373881,Undirected,2
205851,223163,Undirected,2
205851,291819,Undirected,2
205851,296115,Undirected,2
205851,297010,Undirected,2
223163,291819,Undirected,4
223163,296115,Undirected,2
223163,297010,Undirected,2
223163,373881,Undirected,3
291819,296115,Undirected,2
291819,297010,Undirected,2
291819,373881,Undirected,2
296115,297010,Undirected,2
159716,382801,Undirected,2
214447,232352,Undirected,2
69960,98315,Undirected,5
69960,186476,Undirected,8
69960,194762,Undirected,3
69960,305013,Undirected,3
69960,309485,Undirected,7
69960,338910,Undirected,3
98315,194762,Undirected,5
98315,305013,Undirected,4
98315,338910,Undirected,4
168023,309485,Undirected,2
186476,194762,Undirected,6
186476,305013,Undirected,5
186476,338910,Undirected,5
194762,305013,Undirected,5
194762,309485,Undirected,6
194762,338910,Undirected,5
305013,309485,Undirected,5
305013,338910,Undirected,5
309485,338910,Undirected,5
22488,38736,Undirected,5
22488,62369,Undirected,4
22488,69273,Undirected,3
22488,69598,Undirected,4
22488,72747,Undirected,3
22488,94708,Undirected,3
22488,158433,Undirected,4
22488,329169,Undirected,2
22488,371521,Undirected,9
38736,62369,Undirected,6
38736,69273,Undirected,2
38736,69598,Undirected,7
38736,72747,Undirected,3
38736,94708,Undirected,4
38736,158433,Undirected,5
38736,329169,Undirected,2
38736,371521,Undirected,4
62369,69273,Undirected,2
62369,69598,Undirected,7
62369,72747,Undirected,2
62369,94708,Undirected,4
62369,158433,Undirected,6
62369,329169,Undirected,2
62369,371521,Undirected,3
69273,69598,Undirected,3
69273,158433,Undirected,3
69273,371521,Undirected,7
69598,72747,Undirected,2
69598,94708,Undirected,4
69598,158433,Undirected,6
69598,329169,Undirected,2
69598,371521,Undirected,4
72747,158433,Undirected,2
72747,371521,Undirected,6
94708,158433,Undirected,4
94708,329169,Undirected,2
94708,371521,Undirected,2
158433,329169,Undirected,2
158433,371521,Undirected,4
27310,48194,Undirected,2
48194,370951,Undirected,2
48194,382801,Undirected,2
106135,314858,Undirected,2
106135,382801,Undirected,2
370951,382801,Undirected,4
109345,346531,Undirected,2
346531,370951,Undirected,3
346531,382801,Undirected,4
84387,278523,Undirected,2
84387,318625,Undirected,2
223752,278523,Undirected,2
250194,278523,Undirected,3
74140,230079,Undirected,2
98281,338479,Undirected,2
230079,321796,Undirected,2
149588,303749,Undirected,2
149588,336263,Undirected,2
